user_seq,id_usuario,pais_residencia,cidade_residencia,latitude_base,longitude_base,perfil,device_principal,ticket_medio,renda_faixa,criado_em
86,user_00086,FR,Paris,48.8566,2.3522,PADRAO,mobile,120,MEDIA,2024-03-27
87,user_00087,DE,Berlin,52.5200,13.4050,PADRAO,web,120,MEDIA,2024-03-28
88,user_00088,DE,Berlin,52.5200,13.4050,VIAJANTE,mobile,260,MEDIA,2024-03-29
89,user_00089,DE,Berlin,52.5200,13.4050,PADRAO,mobile,120,MEDIA,2024-03-30
90,user_00090,DE,Berlin,52.5200,13.4050,PADRAO,web,120,MEDIA,2024-03-31
91,user_00091,JP,Tokyo,35.6762,139.6503,PADRAO,mobile,120,MEDIA,2024-04-01
92,user_00092,JP,Tokyo,35.6762,139.6503,CORPORATIVO,mobile,420,MEDIA_ALTA,2024-04-02
93,user_00093,JP,Tokyo,35.6762,139.6503,PADRAO,web,120,MEDIA,2024-04-03
94,user_00094,CA,Toronto,43.6532,-79.3832,PADRAO,mobile,120,MEDIA,2024-04-04
95,user_00095,CA,Toronto,43.6532,-79.3832,PADRAO,mobile,120,MEDIA,2024-04-05
96,user_00096,CA,Toronto,43.6532,-79.3832,PADRAO,web,120,MEDIA,2024-04-06
97,user_00097,AU,Sydney,-33.8688,151.2093,ALTO_VALOR,mobile,850,ALTA,2024-04-07
98,user_00098,AU,Sydney,-33.8688,151.2093,PADRAO,mobile,120,MEDIA,2024-04-08
99,user_00099,AU,Sydney,-33.8688,151.2093,VIAJANTE,web,260,MEDIA,2024-04-09
100,user_00100,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-04-10
101,user_00101,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-04-11
102,user_00102,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-04-12
103,user_00103,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-04-13
104,user_00104,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-04-14
105,user_00105,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-04-15
106,user_00106,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-04-16
107,user_00107,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-04-17
108,user_00108,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-04-18
109,user_00109,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-04-19
110,user_00110,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,mobile,260,MEDIA,2024-04-20
111,user_00111,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-04-21
112,user_00112,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-04-22
113,user_00113,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-04-23
114,user_00114,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-04-24
115,user_00115,BR,Sao Paulo,-23.5505,-46.6333,CORPORATIVO,mobile,420,MEDIA_ALTA,2024-04-25
116,user_00116,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-04-26
117,user_00117,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-04-27
118,user_00118,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-04-28
119,user_00119,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-04-29
120,user_00120,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-04-30
121,user_00121,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,mobile,260,MEDIA,2024-05-01
122,user_00122,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-02
123,user_00123,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-05-03
124,user_00124,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-04
125,user_00125,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-05
126,user_00126,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-05-06
127,user_00127,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-07
128,user_00128,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-08
129,user_00129,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-05-09
130,user_00130,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-10
131,user_00131,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-11
132,user_00132,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,web,260,MEDIA,2024-05-12
133,user_00133,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-13
134,user_00134,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-14
135,user_00135,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-05-15
136,user_00136,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-16
137,user_00137,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-17
138,user_00138,BR,Sao Paulo,-23.5505,-46.6333,CORPORATIVO,web,420,MEDIA_ALTA,2024-05-18
139,user_00139,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-19
140,user_00140,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-20
141,user_00141,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-05-21
142,user_00142,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-22
143,user_00143,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,mobile,260,MEDIA,2024-05-23
144,user_00144,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-05-24
145,user_00145,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-25
146,user_00146,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-26
147,user_00147,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-05-27
148,user_00148,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-28
149,user_00149,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-29
150,user_00150,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-05-30
151,user_00151,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-05-31
152,user_00152,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-06-01
153,user_00153,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-06-02
154,user_00154,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,mobile,260,MEDIA,2024-06-03
155,user_00155,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-06-04
156,user_00156,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-06-05
157,user_00157,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-06-06
158,user_00158,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-06-07
159,user_00159,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-06-08
160,user_00160,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-06-09
161,user_00161,BR,Sao Paulo,-23.5505,-46.6333,CORPORATIVO,mobile,420,MEDIA_ALTA,2024-06-10
162,user_00162,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-06-11
163,user_00163,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-06-12
164,user_00164,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-06-13
165,user_00165,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,web,260,MEDIA,2024-06-14
166,user_00166,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-06-15
167,user_00167,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-06-16
168,user_00168,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-06-17
169,user_00169,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-06-18
170,user_00170,US,New York,40.7128,-74.0060,PADRAO,mobile,120,MEDIA,2024-06-19
171,user_00171,US,New York,40.7128,-74.0060,PADRAO,web,120,MEDIA,2024-06-20
172,user_00172,US,New York,40.7128,-74.0060,PADRAO,mobile,120,MEDIA,2024-06-21
173,user_00173,US,New York,40.7128,-74.0060,PADRAO,mobile,120,MEDIA,2024-06-22
174,user_00174,US,New York,40.7128,-74.0060,PADRAO,web,120,MEDIA,2024-06-23
175,user_00175,US,New York,40.7128,-74.0060,PADRAO,mobile,120,MEDIA,2024-06-24
176,user_00176,US,New York,40.7128,-74.0060,VIAJANTE,mobile,260,MEDIA,2024-06-25
177,user_00177,US,New York,40.7128,-74.0060,PADRAO,web,120,MEDIA,2024-06-26
178,user_00178,GB,London,51.5074,-0.1278,PADRAO,mobile,120,MEDIA,2024-06-27
179,user_00179,GB,London,51.5074,-0.1278,PADRAO,mobile,120,MEDIA,2024-06-28
180,user_00180,GB,London,51.5074,-0.1278,PADRAO,web,120,MEDIA,2024-06-29
181,user_00181,GB,London,51.5074,-0.1278,PADRAO,mobile,120,MEDIA,2024-06-30
182,user_00182,GB,London,51.5074,-0.1278,PADRAO,mobile,120,MEDIA,2024-07-01
183,user_00183,FR,Paris,48.8566,2.3522,PADRAO,web,120,MEDIA,2024-07-02
184,user_00184,FR,Paris,48.8566,2.3522,CORPORATIVO,mobile,420,MEDIA_ALTA,2024-07-03
185,user_00185,FR,Paris,48.8566,2.3522,PADRAO,mobile,120,MEDIA,2024-07-04
186,user_00186,FR,Paris,48.8566,2.3522,PADRAO,web,120,MEDIA,2024-07-05
187,user_00187,DE,Berlin,52.5200,13.4050,VIAJANTE,mobile,260,MEDIA,2024-07-06
188,user_00188,DE,Berlin,52.5200,13.4050,PADRAO,mobile,120,MEDIA,2024-07-07
189,user_00189,DE,Berlin,52.5200,13.4050,PADRAO,web,120,MEDIA,2024-07-08
190,user_00190,DE,Berlin,52.5200,13.4050,PADRAO,mobile,120,MEDIA,2024-07-09
191,user_00191,JP,Tokyo,35.6762,139.6503,PADRAO,mobile,120,MEDIA,2024-07-10
192,user_00192,JP,Tokyo,35.6762,139.6503,PADRAO,web,120,MEDIA,2024-07-11
193,user_00193,JP,Tokyo,35.6762,139.6503,PADRAO,mobile,120,MEDIA,2024-07-12
194,user_00194,CA,Toronto,43.6532,-79.3832,ALTO_VALOR,mobile,850,ALTA,2024-07-13
195,user_00195,CA,Toronto,43.6532,-79.3832,PADRAO,web,120,MEDIA,2024-07-14
196,user_00196,CA,Toronto,43.6532,-79.3832,PADRAO,mobile,120,MEDIA,2024-07-15
197,user_00197,AU,Sydney,-33.8688,151.2093,PADRAO,mobile,120,MEDIA,2024-07-16
198,user_00198,AU,Sydney,-33.8688,151.2093,VIAJANTE,web,260,MEDIA,2024-07-17
199,user_00199,AU,Sydney,-33.8688,151.2093,PADRAO,mobile,120,MEDIA,2024-07-18
200,user_00200,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-07-19
201,user_00201,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-07-20
202,user_00202,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-07-21
203,user_00203,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-07-22
204,user_00204,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-07-23
205,user_00205,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-07-24
206,user_00206,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-07-25
207,user_00207,BR,Sao Paulo,-23.5505,-46.6333,CORPORATIVO,web,420,MEDIA_ALTA,2024-07-26
208,user_00208,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-07-27
209,user_00209,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,mobile,260,MEDIA,2024-07-28
210,user_00210,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-07-29
211,user_00211,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-07-30
212,user_00212,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-07-31
213,user_00213,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-08-01
214,user_00214,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-02
215,user_00215,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-03
216,user_00216,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-08-04
217,user_00217,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-05
218,user_00218,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-06
219,user_00219,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-08-07
220,user_00220,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,mobile,260,MEDIA,2024-08-08
221,user_00221,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-09
222,user_00222,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-08-10
223,user_00223,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-11
224,user_00224,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-12
225,user_00225,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-08-13
226,user_00226,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-14
227,user_00227,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-15
228,user_00228,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-08-16
229,user_00229,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-17
230,user_00230,BR,Sao Paulo,-23.5505,-46.6333,CORPORATIVO,mobile,420,MEDIA_ALTA,2024-08-18
231,user_00231,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,web,260,MEDIA,2024-08-19
232,user_00232,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-20
233,user_00233,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-21
234,user_00234,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-08-22
235,user_00235,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-23
236,user_00236,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-24
237,user_00237,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-08-25
238,user_00238,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-26
239,user_00239,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-27
240,user_00240,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-08-28
241,user_00241,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-08-29
242,user_00242,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,mobile,260,MEDIA,2024-08-30
243,user_00243,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-08-31
244,user_00244,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-09-01
245,user_00245,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-09-02
246,user_00246,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-09-03
247,user_00247,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-09-04
248,user_00248,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-09-05
249,user_00249,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-09-06
250,user_00250,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-09-07
251,user_00251,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-09-08
252,user_00252,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-09-09
253,user_00253,BR,Sao Paulo,-23.5505,-46.6333,CORPORATIVO,mobile,420,MEDIA_ALTA,2024-09-10
254,user_00254,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-09-11
255,user_00255,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-09-12
256,user_00256,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-09-13
257,user_00257,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-09-14
258,user_00258,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-09-15
